Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010
330020905000178;1;0;0;0;0;0;0;0;0;0;0
330020905000179;1;4;1;0;10;0;7;9;0;7;0
330020905000180;1;0;X;X;X;X;X;X;X;X;X
330020905000181;1;6;2;0;1;0;1;0;0;1;0
330020905000182;1;2;0;0;0;0;2;0;0;2;0
330020905000183;1;0;0;0;0;0;0;0;0;2;0
330020905000184;1;1;0;0;0;0;3;0;0;0;0
330020905000185;1;0;0;0;2;0;1;0;0;0;0
330020905000186;1;3;1;0;2;0;6;0;0;7;0
330020905000187;1;0;0;0;4;0;0;0;0;5;0
330020905000188;1;8;3;0;20;0;8;3;0;16;0
330020905000189;1;5;3;0;22;0;5;4;0;7;0
330020905000190;1;5;1;0;20;0;4;1;0;17;0
330020905000191;1;11;2;0;7;0;7;2;0;7;0
330020905000192;1;6;4;0;7;0;4;4;0;3;0
330020908000001;1;2;0;0;0;0;4;1;0;1;0
330020908000002;1;3;0;0;0;0;1;0;0;0;0
330020908000003;1;7;0;0;1;0;2;1;0;1;0
330020908000004;1;3;0;0;0;0;3;0;0;1;0
330020908000005;1;9;0;1;6;0;8;0;0;7;0
330020908000006;1;8;0;0;8;0;2;0;0;2;0
330020908000007;1;2;0;0;2;0;4;0;0;0;0
330020908000008;1;4;0;0;1;0;1;0;0;0;0
330020908000009;1;1;0;0;2;0;1;0;0;2;0
330020908000010;1;5;0;0;5;0;1;1;0;6;0
330020908000011;1;5;0;0;9;0;17;4;0;7;0
330020908000012;1;5;5;1;3;0;6;4;0;5;0
330020908000013;1;5;4;0;9;0;2;1;0;8;0
330020908000014;1;4;0;1;7;0;4;0;0;2;0
330020908000015;1;5;0;0;1;0;3;0;0;1;0
330020908000016;1;3;0;0;0;0;2;0;0;0;0
330020908000017;1;2;0;0;0;0;1;0;0;0;0
330020908000018;1;0;0;0;1;0;1;1;0;1;0
